国家,中华人民共和国,
省/直辖市,浙江省,
市,杭州市,
县/区,全市,
开始时间,2019年01月01日 00时,
结束时间,2019年01月31日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,降水量mm/h
2019-01-10,11:00:00,0.10099789616315097
2019-01-10,12:00:00,0.08727986604117365
2019-01-10,13:00:00,0.12465736275193788
2019-01-10,14:00:00,0.6421436262080487
2019-01-10,15:00:00,0.9059360963851248
2019-01-10,16:00:00,0.47226309906217917
2019-01-10,17:00:00,0.27424926636552294
2019-01-10,18:00:00,0.2902312606770432
2019-01-10,19:00:00,0.3604013859623376
2019-01-10,20:00:00,0.5382889454324553
2019-01-10,21:00:00,0.9347900055988154
2019-01-10,22:00:00,1.368367795235123
2019-01-10,23:00:00,1.7783772448816513
2019-01-11,00:00:00,1.7688209709248641
2019-01-11,01:00:00,1.3838349412526765
2019-01-11,02:00:00,0.9963317724689699
2019-01-11,03:00:00,1.298638125467558
2019-01-11,04:00:00,1.3109718750636528
2019-01-11,05:00:00,1.11783724517891
2019-01-11,06:00:00,0.7897489151334433
2019-01-11,07:00:00,0.31060532453672907
2019-01-11,08:00:00,0.3773718846452682
2019-01-11,09:00:00,0.8492324176209617
2019-01-11,10:00:00,1.138591794170508
2019-01-11,11:00:00,0.7106854746978725
2019-01-11,12:00:00,0.5011451445501992
2019-01-11,13:00:00,0.5774755882885338
2019-01-11,14:00:00,0.8422535580567905
2019-01-11,15:00:00,0.6939218519488224
2019-01-11,16:00:00,0.3538595060266331
2019-01-11,17:00:00,0.18071814314066106
2019-01-11,18:00:00,0.1996838655747009
2019-01-11,19:00:00,0.1871273964444275
2019-01-11,20:00:00,0.19530603653492265
2019-01-11,21:00:00,0.07620177852226129
2019-01-11,22:00:00,0.02868709942645426
2019-01-11,23:00:00,0.008111715484905534
2019-01-12,00:00:00,0.0023321333714759153
2019-01-12,01:00:00,0.0009292280070294688
2019-01-12,02:00:00,0.015566178307590417
2019-01-12,03:00:00,0.01215616456074769
2019-01-12,04:00:00,0.008667124241166769
2019-01-12,05:00:00,0.006145096323281579
2019-01-12,06:00:00,0.003854727087323288
2019-01-12,07:00:00,0.006699066929540882
2019-01-12,08:00:00,0.005414844285542222
2019-01-12,09:00:00,0.0014869819294468308
2019-01-12,10:00:00,0.0009944393963125981
2019-01-12,11:00:00,0.001459062928647116
2019-01-12,12:00:00,0.0008033007333841659
2019-01-12,13:00:00,0.0006208652890561253
2019-01-12,14:00:00,0.0008562152504865188
2019-01-12,15:00:00,0.0006173988278920468
2019-01-12,16:00:00,0.001050572167377999
2019-01-12,17:00:00,0.0008921891430455752
2019-01-12,18:00:00,0.0011625899205037417
2019-01-12,19:00:00,0.0008283723784466843
2019-01-12,20:00:00,0.0025633660322661625
2019-01-12,21:00:00,0.0010288073381635174
2019-01-12,22:00:00,0.0007198848552351134
2019-01-12,23:00:00,0.0010067118204417282
2019-01-13,00:00:00,0.00014861552447419354
2019-01-13,01:00:00,0.00014861552447419354
2019-01-13,02:00:00,0.0012351035511556357
2019-01-13,03:00:00,0.0010479599686654178
2019-01-13,04:00:00,0.0005866435972620681
2019-01-13,05:00:00,0.002101756125500692
2019-01-13,06:00:00,0.0004266361816332503
2019-01-13,07:00:00,0.0003592958847497179
2019-01-13,08:00:00,0.0006447463207774693
2019-01-13,09:00:00,0.000641751752848482
2019-01-13,10:00:00,0.0003083170447299858
2019-01-13,11:00:00,6.181635663334846e-05
2019-01-13,12:00:00,1.1104965738112785e-15
2019-01-13,13:00:00,6.181635663334846e-05
2019-01-13,14:00:00,3.0908178317229454e-05
2019-01-13,15:00:00,3.0908178317229454e-05
2019-01-13,16:00:00,1.1104965738112785e-15
2019-01-13,17:00:00,1.1104965738112785e-15
2019-01-13,18:00:00,5.873896231470796e-05
2019-01-13,19:00:00,1.1104965738112785e-15
2019-01-13,20:00:00,5.605028975899453e-05
2019-01-13,21:00:00,0.00023219705540317574
2019-01-13,22:00:00,0.000650060859273614
2019-01-13,23:00:00,0.000808908462160171
2019-01-14,00:00:00,0.0006665114950742112
2019-01-14,01:00:00,0.0010119051739844642
2019-01-14,02:00:00,0.0014475606333628854
2019-01-14,03:00:00,0.00132905166759647
2019-01-14,04:00:00,0.0010168924901160163
2019-01-14,05:00:00,0.002375016963789216
2019-01-14,06:00:00,0.0050485834724476025
2019-01-14,07:00:00,0.009000248218869066
2019-01-14,08:00:00,0.026881868705639165
2019-01-14,09:00:00,0.05262284529581117
2019-01-14,10:00:00,0.10389120919129699
2019-01-14,11:00:00,0.13993016008973103
2019-01-14,12:00:00,0.15809872025163846
2019-01-14,13:00:00,0.23164718702225323
2019-01-14,14:00:00,0.16554561216384095
2019-01-14,15:00:00,0.1788997413195724
2019-01-14,16:00:00,0.1636348656042101
2019-01-14,17:00:00,0.13534527085641695
2019-01-14,18:00:00,0.14162375947748118
2019-01-14,19:00:00,0.2494562724696375
2019-01-14,20:00:00,0.5237948142219738
2019-01-14,21:00:00,0.68612396020014
2019-01-14,22:00:00,0.7487299499086291
2019-01-14,23:00:00,0.7155045857776886
2019-01-15,00:00:00,0.6642713733902146
2019-01-15,01:00:00,0.5758890622397912
2019-01-15,02:00:00,0.5883764547800954
2019-01-15,03:00:00,0.40192293731220907
2019-01-15,04:00:00,0.4037683330217922
2019-01-15,05:00:00,0.3921629170008206
2019-01-15,06:00:00,0.3121488650558565
2019-01-15,07:00:00,0.30586626021275326
2019-01-15,08:00:00,0.3180557273548452
2019-01-15,09:00:00,0.42131993527353145
2019-01-15,10:00:00,0.4097246772608488
2019-01-15,11:00:00,0.4319363848858597
2019-01-15,12:00:00,0.3834967079426268
2019-01-15,13:00:00,0.3311421698001162
2019-01-15,14:00:00,0.37204803230044736
2019-01-15,15:00:00,0.4007883574383406
2019-01-15,16:00:00,0.4056165712054829
2019-01-15,17:00:00,0.3821003843869704
2019-01-15,18:00:00,0.33500289541473066
2019-01-15,19:00:00,0.26060998008525355
2019-01-15,20:00:00,0.20037872986837257
2019-01-15,21:00:00,0.16291020455074054
2019-01-15,22:00:00,0.14882431791371004
2019-01-15,23:00:00,0.13433524840350963
2019-01-16,00:00:00,0.11500879389910362
2019-01-16,01:00:00,0.08053838446447
2019-01-16,02:00:00,0.05416284472332073
2019-01-16,03:00:00,0.03250870039256494
2019-01-16,04:00:00,0.02489644016606197
2019-01-16,05:00:00,0.016460044329918915
2019-01-16,06:00:00,0.010115510860448953
2019-01-16,07:00:00,0.016194976385316247
2019-01-16,08:00:00,0.051002930086125005
2019-01-16,09:00:00,0.09061245843829428
2019-01-16,10:00:00,0.11480892109231583
2019-01-16,11:00:00,0.11418641759462482
2019-01-16,12:00:00,0.0902839055947655
2019-01-16,13:00:00,0.07641641275186897
2019-01-16,14:00:00,0.14176623717932244
2019-01-16,15:00:00,0.15279147641614887
2019-01-16,16:00:00,0.2038780767954511
